unit_name,building,sub_community,community,emirate,bedrooms,bathrooms,size_sqft,price_aed,price_period,agent,agency,dld_permit,listed_date,url
2bed with balcony! upto 12 cheques! close to metro,Escan Tower,,Dubai Marina,Dubai,2,2,1200,110000,yearly,Memoona Abid,Patriot Pro Real Estate LLC,1234567890,2026-03-17,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-escan-tower-65152305.html
3 BR | Marina Sky View | Ocean Heights Marina,Ocean Heights,,Dubai Marina,Dubai,3,3,1869,195000,yearly,Mohammad Ali Majid Mohammadian,Imperial Way Real Estate,2107031445,2026-02-10,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-ocean-heights-16283626.html
EID SPECIAL I ALL BILLS INCLUDED I NEAR BEACH,Murjan,,Jumeirah Beach Residence,Dubai,3,3,2170,190000,yearly,Bilal Charfi ,VayK Vacation Homes,43209,2026-03-21,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-murjan-66694645.html
One Bedroom |High Floor | Sea View,Elite Residence,,Dubai Marina,Dubai,1,2,736,89000,yearly,Saba Nadeem Kamal,DREAM SPACE DS REAL ESTATE L.L.C,437898410,2026-03-08,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-elite-residence-2Q0gJFLw0q8.html
Bills Included | Fully Serviced | Furnished,Jumeirah Living Marina Gate,Marina Gate,Dubai Marina,Dubai,2,2,1258,350000,yearly,Ronan Hutchingson,White & Co Real Estate,6510237100,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-gate-jumeirah-living-marina-gate-67430627.html
Ready to move in I With balcony I High floor,Skyview Tower,,Dubai Marina,Dubai,2,2,1346,160000,yearly,Madanraj Kannan,SRM INTERNATIONAL REAL ESTATE L.L.C,6511003900,2026-02-20,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-skyview-tower-2PZZAplntfk.html
Hot Deal | Best Location | Fully Furnished,Tamani Marina Hotel and Hotel Apartment,,Dubai Marina,Dubai,2,3,1500,165000,yearly,Ahmad Ali,ALASKA REAL ESTATE L.L.C,6511052400,2026-01-30,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-tamani-marina-hotel-and-hotel-apartment-16198376.html
Dubai Marina | Well Maintained | 1-Bed Apartment,Bay Central West,Bay Central,Dubai Marina,Dubai,1,2,692,85000,yearly,Ahmed Said,Savills Property Management,6511052500,2026-02-19,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-bay-central-bay-central-west-2PXjYPaHX7o.html
MARINA VIEW | ULTRA LUXURIOUS | AVAILABLE,Dubai Marina Moon Tower,,Dubai Marina,Dubai,4,5,4320,950000,yearly,Matthew Theodore  Solomon,D&B Properties,6511127000,2026-02-18,https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-marina-dubai-marina-moon-tower-2PW4Nm9IGvo.html
Bills Included | Prime Location | Fully Furnished,Safeer Tower,,Dubai Marina,Dubai,1,2,700,176000,yearly,Amr Ramadan,ALASKA REAL ESTATE L.L.C,6511127100,2026-02-11,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-safeer-tower-16300617.html
Luxury 1BR | Sea View | 07 series,Beach Vista Tower 2,EMAAR Beachfront,Dubai Harbour,Dubai,1,1,711,170000,yearly,Obaida Abdulkarim Alzoubi,MADINA PARTNERS REAL ESTATE,65139105851,2026-02-11,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-harbour-emaar-beachfront-beach-vista-beach-vista-tower-2-16302180.html
Podium | Sea View | Townhouse | Vacant,Palace Beach Residence Tower 2,EMAAR Beachfront,Dubai Harbour,Dubai,3,4,1993,500000,yearly,Alla Sydorchuk,Hamptons International - Leasing,65139105865,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-harbour-emaar-beachfront-palace-beach-residence-palace-beach-residence-tower-2-65568972.html
Luxury 1BR | Beach Mansion | Emaar Beachfront,Beach Mansion Tower 1,EMAAR Beachfront,Dubai Harbour,Dubai,1,1,793,185000,yearly,Soufyan Daafi,Rolodex Real Estate L.l.c,65139105867,2026-03-17,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-harbour-emaar-beachfront-beach-mansion-beach-mansion-tower-1-65168852.html
Pool/Sea View | Vacant and Ready | Furnished,Bluewaters Residences,,Bluewaters,Dubai,1,2,807,330000,yearly,Oxana Butrimenko,Wakhan Properties,6529524543,2026-03-06,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-bluewaters-bluewaters-residences-2Pwfq6zWJXc.html
High-Floor Masterpiece 2BR at FIVE Luxe  JBR,Five Luxe JBR,,Jumeirah Beach Residence,Dubai,2,2,2025,995000,yearly,Mehmet Tolgahan Yilmaz,NESTSEEKERS REAL ESTATE L.L.C,6530858500,2026-02-13,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-five-luxe-jbr-16322087.html
FULLY FURNISHED - SEA VIEW - AVAILABLE NOW,1 JBR,,Jumeirah Beach Residence,Dubai,2,3,1920,365000,yearly,Olga Basko,Basko Realty,6554588660,2026-02-24,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-1-jbr-2PgbaSUAUjI.html
Great Location | Beach Access | Best View,Suha JBR Hotel Apartments,,Jumeirah Beach Residence,Dubai,2,3,1343,179999,yearly,Amr Ramadan,ALASKA REAL ESTATE L.L.C,6557905000,2026-02-27,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-suha-jbr-hotel-apartments-2PlgicG7DaC.html
Spacious 2 BHK + Maids | JBR View | Unfurnished,Al Fattan Marine Tower,Al Fattan Marine Towers,Jumeirah Beach Residence,Dubai,2,3,1922,180000,yearly,Rakhi Khetarpal,Corniche Blue Real Estate LLC,6567018000,2026-02-25,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-al-fattan-marine-towers-2Phv0xZhASO.html
Next to Metro | Big Balcony | Ready to Move,Dream Tower 1,Dream Towers,Dubai Marina,Dubai,1,2,778,74000,yearly,Haider Tariq,M T S REAL ESTATE L.L.C,6574459000,2026-03-14,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-dream-towers-dream-tower-1-2QAXhy0huRk.html
Balcony | Fully-Fitted Kitchen | Well-Maintained,Elite Residence,,Dubai Marina,Dubai,1,2,737,90000,yearly,Ahmed Said,Savills Property Management,6586181000,2026-02-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-elite-residence-2PeJ6gtwSkC.html
Furnished 2BR | Marina Views | Available Now,Iris Blue,,Dubai Marina,Dubai,2,2,1371,165000,yearly,Melissa Mariano,OLAT PROPERTIES,6586925000,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-iris-blue-67455919.html
Best Location | Bills Included | Pool & Gym,Ramada Hotel and Suites by Wyndham Dubai JBR,The Walk,Jumeirah Beach Residence,Dubai,1,1,1076,129999,yearly,Mahmoud Taha,ALASKA REAL ESTATE L.L.C,6591051000,2026-03-06,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-the-walk-ramada-hotel-and-suites-by-wyndham-dubai-jbr-2PwoEh6AIAS.html
Marina views | Fully furnished | Bills included,Marina Hotel Apartments,,Dubai Marina,Dubai,2,2,1905,230000,yearly,Mathieu Serge Fabien Diette,betterhomes - Dubai Marina,6593112000,2026-03-06,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-hotel-apartments-2PxAIzWCvNA.html
Rare Marina Villa | Spacious | Large Garden  View,Al Mass Tower,Emaar 6 Towers,Dubai Marina,Dubai,3,4,3374,350000,yearly,Samuel Hulse,Tier One Properties LLC,6593877000,2026-02-25,https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-marina-emaar-6-towers-al-mass-tower-2PhmgIRgX3Y.html
Stunning 3 BHK + Maids | Prime Location | Ready,Al Anbar Tower,Emaar 6 Towers,Dubai Marina,Dubai,3,5,2326,280000,yearly,Ehtisham Ali,XPAND HOMES REAL ESTATE L.L.C,6593878000,2026-02-26,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-emaar-6-towers-al-anbar-tower-2PkSWt4G44O.html
