offering,unit_name,building,sub_community,community,emirate,property_type,bedrooms,bathrooms,size_sqft,furnished,price_aed,previous_price_aed,price_drop_pct,price_period,agent,agency,dld_permit,listed_date,listing_reference,url
rent,Exclusive Listing | 02 Series | Panoramic Views,IL Primo,Opera District,Downtown Dubai,Dubai,Penthouse,4,6,5300,YES,1900000,2500000,24,yearly,Moustafa Meles,Driven Properties,7131163178,2026-06-27T07:50:30Z,DPF-R-44672,https://www.propertyfinder.ae/en/plp/rent/penthouse-for-rent-dubai-downtown-dubai-opera-district-il-primo-108169130.html
sale,Studio Apartment | High Floor | High Spec,Five Jumeirah Village,District 14,Jumeirah Village Circle,Dubai,Apartment,studio,1,492,YES,650000,855263,24,sell,Ryan McBride,Allsopp & Allsopp - Motor City Sales,7117508308,2026-06-10T08:24:27Z,L-301510,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-jumeirah-village-circle-district-14-five-jumeirah-village-100830025.html
sale,Exclusive | High Floor | Best Layout,Peninsula Four,Peninsula,Business Bay,Dubai,Apartment,4,5,2688,NO,8400000,10769231,22,sell,Ioana Nathalie Tiriac,Hamptons International,71444569687,2026-07-08T11:19:21Z,HI-S-013081,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-business-bay-peninsula-peninsula-four-113264058.html
rent,Brand New | Iconic Burj Views | Fully Furnished,IL Primo,Opera District,Downtown Dubai,Dubai,Apartment,4,5,5176,YES,1950000,2500000,22,yearly,Mitul Gadhia,Driven Properties,7131163134,2026-05-26T08:30:12Z,DPF-R-41018,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-opera-district-il-primo-94440118.html
sale,Own a Smart Studio in Arjan |Attractive Investment,Binghatti Hillcrest,,Arjan,Dubai,Apartment,studio,1,364,YES,600000,769231,22,sell,Munir Mohammad AlDeraawi,ORLA PROPERTIES L.L.C,71838238630,2026-07-20T09:26:15Z,ORLA-BINGHATTI-HILLCREST-S,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-arjan-binghatti-hillcrest-118580395.html
rent,BURJ AND FOUNTAIN VIEW | 1 BEDROOM | AVAILABLE,Burj Lake Hotel - The Address DownTown,,Downtown Dubai,Dubai,Apartment,1,2,796,YES,180000,230769,22,yearly,Ramandeep Singh Dhillon,Bridges and Allies Real Estate Brokers,7123615000,2026-07-17T09:48:50Z,BAA-R-17689-4,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-burj-lake-hotel-the-address-downtown-117258510.html
sale,Great Deal | Below Original Price,Vincitore Aqua Dimore,Vincitore Aqua Dimore,Dubai Science Park,Dubai,Apartment,studio,1,462,NO,590000,746835,21,sell,Siarhei Yakavenka,WHITEWILL REAL ESTATE BROKERS L.L.C,71564602392,2026-06-16T09:03:26Z,VAD-1606,https://www.propertyfinder.ae/en/plp/buy/apartment-for-sale-dubai-dubai-science-park-vincitore-aqua-dimore-103248866.html
sale,Ultra Luxury Waterfront Villa | Spacious Plot,Bay Villas,,Dubai Islands,Dubai,Villa,4,5,6627,NO,12000000,15000000,20,sell,Erlinda Villones,Casabella Property Broker,65571288043,2026-07-08T12:01:55Z,casabella-12345594,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-dubai-islands-bay-villas-113268457.html
sale,Prime Location | Spacious | 7 BR Villa,Al Mizhar 1,Al Mizhar 1,Al Mizhar,Dubai,Villa,7,7+,15000,YES,12000000,15000000,20,sell,Mohammad Alghamdi,Dur Real Estate L.L.C,6563409000,2026-07-08T10:05:54Z,BPGNHSGDQKPF6A94TBP2Z9GB3G,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-al-mizhar-al-mizhar-1-113257821.html
rent,Exclusive Unit | Luxury Upgraded | Furnished,IL Primo,Opera District,Downtown Dubai,Dubai,Apartment,4,6,5300,YES,2000000,2500000,20,yearly,Moustafa Meles,Driven Properties,7131163186,2026-06-29T15:46:20Z,DP-R-63937,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-opera-district-il-primo-109060930.html
