evidence date,data points,all developments,community/building,sub community / building,sub community / building.1,beds,annualised rental price (aed),contract rental price (aed),unit size (sq ft),plot size (sq ft),rent (aed/sq ft),unit type,floor level,unit no.,rent recurrence,view,developer name,source,comments,villa type,maid,study,balcony,select data points,price (aed),price (aed/sq ft),sales recurrence,frequency,chiller fee included,furnished,utilities
18 Mar 2026,Rental Contracts,Dubai Sports City,Hub-Canal Towers,Hub Canal 1,,1,70000.0,70000.0,884.0,,79.0,Apartment,1,105,Renewal,-,Falak Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Nahda,Al Nahda 2,Al Nahda Residence,,1,53000.0,53000.0,900.0,,59.0,Apartment,-,303,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mohammed Bin Rashid City,Azizi Riviera,Azizi Riviera 9,,1,72000.0,72000.0,536.0,,134.0,Apartment,3,303,Renewal,-,Azizi,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Garhoud,Bin Khedia Building,,,-,25000.0,25000.0,75.0,,333.0,Office,-,309-10,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Jumeirah,Jumeirah 1,,,2,184999.0,184999.0,1911.0,,97.0,Apartment,-,104-2,Renewal,-,Private Developer,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mirdif,-,,,-,120000.0,120000.0,,,,Villa,G+1,,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Silicon Oasis,Al Falak Residence,,,1,50000.0,50000.0,650.0,,77.0,Apartment | 6262560,4,405,Renewal,-,Al Falak Residence FZCO,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Ras Al Khor,Ras Al Khor Industrial,Ras Al Khor Industrial 3,Samari Residences | Samari Residences 8,1,37595.0,37595.0,618.0,,61.0,Apartment,2,209,Renewal,-,Wasl,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Muhaisnah,Muhaisnah 4,Al Wasl Building R446,,1,36000.0,36000.0,906.0,,40.0,Apartment,-,217D,Renewal,-,Wasl,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Qusais First,-,,,1,29040.0,29040.0,400.0,,73.0,Apartment,-,41,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mohammed Bin Rashid City,Azizi Riviera,Azizi Riviera 1,,Studio,50000.0,50000.0,415.0,,120.0,Apartment | 3474997,1,112,New Contract,-,Azizi,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Jumeirah Village Circle,JVC District 11,Adore Building,,Studio,42000.0,42000.0,441.0,,95.0,Apartment | 6816322,4,407,Renewal,-,Mr Ahmed Muneir Mohammed Dahab,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 1,Building 13,,2,52500.0,52500.0,1038.0,,51.0,Apartment | 3650634,2,204,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,The Gardens,The Gardens Buildings,The Gardens Building 102,,1,73500.0,73500.0,710.0,,104.0,Apartment | 59111479,2,30,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Deira,Al Baraha,,,Studio,26000.0,26000.0,225.0,,116.0,Apartment,-,G-2,Renewal,-,,-,-,,,,,,,,,,,,
