evidence date,select data points,all developments,community/building,sub community / building,sub community / building.1,beds,price (aed),unit size (sq ft),plot size (sq ft),price (aed/sq ft),unit type,floor level,unit no.,sales recurrence,view,developer name,source,comments,unit size (sq. ft),plot size (sq. ft),price (aed/sq. ft),villa type,maid,study,balcony
12 Mar 2026,Oqood,Athlon By Aldar,Rise by Athlon,Tempo,,1,1254762.0,956.0,,1313.0,Apartment | 64810201,1,B2- 101,-,-,Aldar Properties,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai South,Dubai South Residential District,The Pulse,The Pulse Residences | The Pulse Residence B1,3,1488610.0,1474.0,,1010.0,Apartment | 5212780,7,703,-,-,Dubai South,-,-,,,,,,,
12 Mar 2026,Title Deed,Jumeirah Village Circle,JVC District 16,Binghatti Dawn,,Studio,1058822.0,448.0,,2363.0,Apartment | 6817666,2,213,-,Community,Binghatti,-,-,,,,,,,
12 Mar 2026,Oqood,Dubai Islands,Island A (Central Island),Elle Residences,,2,2806777.0,993.0,,2827.0,Apartment | 1010587,4,407,Resale,-,Anax Developments,-,-,,,,,,,
12 Mar 2026,Title Deed,Jumeirah Village Circle,JVC District 14,Loci,,2,1720000.0,1991.0,,864.0,Apartment | 6817197,4,401,-,-,Lootah Real Estate Development,-,-,,,,,,,
12 Mar 2026,Oqood,Majan,Divine Al Barari,,,1,1008000.0,751.0,,1342.0,Apartment | 6457887,5,516,Initial Sale,-,Takmeel Real Estate Development,-,-,,,,,,,
12 Mar 2026,Oqood,Dubai Silicon Oasis,Timez By Danube,,,2,1758120.0,1101.0,,1597.0,Apartment | 6261674,34,3405,Initial Sale,"Community, City",Danube Properties,-,-,,,,,,,
12 Mar 2026,Oqood,Majan,Divine Al Barari,,,Studio,673980.0,430.0,,1567.0,Apartment | 6457887,1,105,Initial Sale,-,Takmeel Real Estate Development,-,-,,,,,,,
12 Mar 2026,Title Deed,Business Bay,Royal Regency,,,1,1650000.0,634.0,,2603.0,Apartment | 3460150,3,318,Resale,-,Al Seeb Developers,-,-,,,,,,,
12 Mar 2026,Title Deed,Al Furjan,Al Furjan East,Candace Aster,,1,870000.0,760.0,,1145.0,Hotel Apartment | 5912991,7,702,Resale,-,Azizi,-,Hotel Apartment,,,,,,,
12 Mar 2026,Title Deed,The Springs,Springs 15,8 Street,,3,5850000.0,2284.0,3932.0,2561.0,Townhouse | 3943895,G+1,10,Resale,Back to back,Emaar,-,-,,,,,,,
12 Mar 2026,Title Deed,Business Bay,Merano,,,1,1150000.0,644.0,,1786.0,Apartment | 3460477,7,710,Resale,-,DAMAC Properties,-,-,,,,,,,
12 Mar 2026,Title Deed,Town Square,Noor Townhouses,,,4,3525000.0,2378.0,2889.0,1482.0,Townhouse | 9220408,G+1,444,Resale,-,Nshama,-,-,,,,,,,
12 Mar 2026,Title Deed,Palm Jumeirah,Marina Residences,Marina Residences 1,,2,3850000.0,2045.0,,1883.0,Apartment | 3812738,1,109,Resale,-,Nakheel,-,-,,,,,,,
12 Mar 2026,Oqood,The Valley,Venera,,,4,3359888.0,2689.0,3177.0,1249.0,Townhouse | 9153309,G+1,100,Resale,-,Emaar,-,-,,,,,,,
12 Mar 2026,Oqood,Dubai Islands,Island A (Central Island),Ellington Sands,Ellington Sands I | Ellington Sands I Tower A,1,1914828.0,629.0,,3044.0,Apartment | 1010150,G,A-G05,Initial Sale,-,Ellington Properties,-,-,,,,,,,
12 Mar 2026,Title Deed,Zabeel,Zabeel 2,Downtown Views II,Downtown Views II Tower 1,3,4900000.0,1828.0,,2681.0,Apartment | 3370587,7,710,Resale,"Community,Burj Khalifa,Vacant Land",Emaar,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Marina,Royal Oceanic,,,Studio,1040000.0,513.0,,2027.0,Apartment | 3920290,11,1106,Resale,-,Select Group,-,-,,,,,,,
12 Mar 2026,Oqood,Dubai South,Dubai South Residential District,The Harmony,,2,1558640.0,1156.0,,1348.0,Apartment | 5213530,2,A212,Initial Sale,-,Al Mizan Group,-,-,,,,,,,
12 Mar 2026,Oqood,International City,Longford Residences,Longford Residences Building A,,2,1347600.0,3787.0,,356.0,Apartment | 6212087,1,A122,Initial Sale,-,Devan Real Estate Development,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Studio City,Beach Oasis,Azizi Beach Oasis Building 2,,Studio,479700.0,356.0,,1347.0,Apartment | 6750293,5,533,Initial Sale,-,Azizi,-,-,,,,,,,
12 Mar 2026,Title Deed,Business Bay,Al Habtoor City,Al Habtoor Residences,Noura,3,4100000.0,1940.0,,2113.0,Apartment | 3460106,52,5203,Resale,-,Al Habtoor Group,-,-,,,,,,,
12 Mar 2026,Title Deed,Jumeirah Lakes Towers,Cluster R,MAG 214,,1,1030000.0,753.0,,1368.0,Apartment | 3930936,2,208,Resale,-,MAG Group,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Creek Harbour,Creek Beach,Rosewater,Rosewater Building 2,1,1665000.0,718.0,,2319.0,Apartment | 4154766,6,602,Resale,-,Emaar,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Creek Harbour,Creek Beach,Mangrove,Mangrove Building 2,1,1760000.0,673.0,,2615.0,Apartment | 4154766,6,608,Resale,-,Emaar,-,-,,,,,,,
12 Mar 2026,Title Deed,Business Bay,Nobles Tower,,,1,1440000.0,768.0,,1875.0,Apartment | 3460678,25,2502,Resale,-,Tiger Properties,-,-,,,,,,,
12 Mar 2026,Title Deed,Jumeirah Village Circle,JVC District 11,BlueBell Residence,,1,735063.0,598.0,,1229.0,Apartment | 6816335,8,809,Initial Sale,-,The Family Group,-,-,,,,,,,
12 Mar 2026,Oqood,Jumeirah Village Circle,JVC District 10,Noora Residence,,Studio,749999.0,365.0,,2055.0,Apartment | 6816110,5,530,Initial Sale,-,International Merchant House Real Estate Development LLC,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Production City,Midtown,Dania,Dania 2,1,930000.0,654.0,,1422.0,Apartment | 6854517,7,702,Resale,"Community,Swimming Pool,Vacant Land",Deyaar,-,-,,,,,,,
12 Mar 2026,Title Deed,Jumeirah Village Circle,JVC District 11,BlueBell Residence,,1,807325.0,792.0,,1019.0,Apartment | 6816335,1,102,Initial Sale,-,The Family Group,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Sports City,Frankfurt Sports Tower,,,Studio,580000.0,755.0,,768.0,Apartment | 6821289,7,702,Resale,"Community,Partial Golf Course,Construction,Vacant Land",Shaikhani Group,-,-,,,,,,,
12 Mar 2026,Title Deed,Business Bay,Damac Majestine,,,1,1280000.0,963.0,,1329.0,Apartment | 3466830,18,1803A,Resale,-,DAMAC Properties,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Creek Harbour,Island Park,Island Park Tower 1,,2,2424000.0,1094.0,,2216.0,Apartment | 4154948,1,111,Resale,-,Emaar,-,-,,,,,,,
12 Mar 2026,Title Deed,Al Furjan,Al Furjan West,Westwood by Imtiaz,,Studio,800000.0,419.0,,1909.0,Apartment | 5913019,7,705,Resale,-,Imtiaz Developments,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Hills Estate,Hills Park,,,1,1630000.0,672.0,,2426.0,Apartment | 6312348,9,903,Resale,-,Emaar,-,-,,,,,,,
12 Mar 2026,Title Deed,International City,CBD,Sheffield Classic Apartments,,1,595000.0,929.0,,640.0,Apartment | 6211997,2,202,Resale,-,Sheffield Holdings,-,-,,,,,,,
12 Mar 2026,Title Deed,Mohammed Bin Rashid City,Azizi Riviera,Azizi Riviera 8,,Studio,645000.0,368.0,,1753.0,Apartment | 3474990,3,319,Resale,-,Azizi,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Silicon Oasis,Silicon Gates,Silicon Gates 1,,3,1875000.0,2141.0,,876.0,Apartment | 6262542,3,B307,Resale,-,Al Derea Group,-,-,,,,,,,
12 Mar 2026,Oqood,Dubai Sports City,Arisha Terraces,Arisha Terraces Building 4,,Studio,764000.0,418.0,,1828.0,Apartment | 6750297,5,4-504,Initial Sale,-,Qube Development,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Creek Harbour,Island Park,Island Park Tower 1,,3,4100000.0,1608.0,,2550.0,Apartment | 4154948,8,811,Resale,"Community,partial creek,Sports court",Emaar,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Residence Complex,Skycourts Towers,Skycourts Tower F,,1,590000.0,842.0,,701.0,Apartment | 6489265,5,520,Resale,-,National Bonds Corporation PJSC,-,-,,,,,,,
12 Mar 2026,Title Deed,Dubai Residence Complex,Skycourts Towers,Skycourts Tower A,,2,975000.0,1236.0,,789.0,Apartment | 6489265,21,2101,Resale,-,National Bonds Corporation PJSC,-,-,,,,,,,
12 Mar 2026,Oqood,Dubai Islands,Island A (Central Island),Sunset Bay Grand,,3,6719122.0,3802.0,,1767.0,Apartment | 1010474,10,1007,Initial Sale,-,Imtiaz Developments,-,-,,,,,,,
12 Mar 2026,Title Deed,Al Satwa,Jumeirah Garden City,Asas Garden City 2,,1,1300000.0,783.0,,1660.0,Apartment | 3347347,3,316,Initial Sale,-,Asas Holding,-,-,,,,,,,
12 Mar 2026,Title Deed,International City Phase 2,Easy 18,,,Studio,415000.0,353.0,,1176.0,Apartment | 6240701,4,416,Resale,-,TownX,-,-,,,,,,,
